sort,Family,Genus,Taxa,specimen numbers,,Portik,phylogeny notes,guild,ecology,Spec_lotic,ecology_source,lung_text,lung,lung_info,JRP_dissection_museum,museum dissection N = ,stage range exained,visit number,JRP_dissection_fresh,Histological_sections_examined,Dice_CT_material_reviewed,PHD_dissection_museum,air-breathing,literature_morphology,literature,Conflicting Source,Notes,Taxa_clone,development_high,development_low,source,source 2 (if needed),notes on larval period,Jetz_name
76,Bufonidae,Duttaphrynus,Duttaphrynus_stomaticus,,,,,"lentic, benthic",1,0,,absent,0,buds,,,,,,,,,,,"Kahn, 2004",,,Duttaphrynus_stomaticus,,,,,,
77,Bufonidae,Epidalea,Epidalea_calamita,,,,,"lentic, benthic",1,0,,,,,,,,,,,,,,,,,,Epidalea_calamita,,,,,,
78,Bufonidae,Frostius,Frostius_pernambucensis,,,Frostius_erythrophthalmus,assumed generic monophyly and only 1 member represented,endotroph,2,0,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Frostius_pernambucensis,,,,,,Frostius_erythrophthalmus
79,Bufonidae,Ghatophryne,,,,,,"lotic, suctorial",0,1,,,,,,,,,,,,,,,,,,0,,,,,,
80,Bufonidae,Incilius,Incilius_alvarius,,,,,"lentic, benthic",1,0,,,,,,,,,,,,,,,,,,Incilius_alvarius,,,,,,
81,Bufonidae,Incilius,Incilius_aucoinae,,,,,lotic,0,0,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Incilius_aucoinae,,,,,,
82,Bufonidae,Incilius,Incilius_coccifer,,,,,"lentic, benthic",1,0,"McDiarmid and Foster, 1981",absent,0,buds,,,,,,,,Dias,,,Dias,,,Incilius_coccifer,,,,,,
83,Bufonidae,Incilius,Incilius_coniferus,,,,,"lentic, benthic",1,0,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Incilius_coniferus,,,,,,
84,Bufonidae,Ingerophrynus,Ingerophrynus_parvus,KU_332443,,,,lentic,1,0,"Inger, R. F., Voris, H. K., and Voris, H. H. (1974). ''Genetic variation and population ecology of some Southeast Asian frogs of the genus Bufo and Rana.'' Biochemical Genetics, 12(2), 121-145.",absent,0,buds,KU,1,,2,,,,,,,KU,,,Ingerophrynus_parvus,,,,,,
85,Bufonidae,Laurentophryne,,,,,,endotroph,,0,,,,,,,,,,,,,,,,,,0,,,,,,
86,Bufonidae,Leptophryne,,,,,,"lentic, benthic",1,0,,,,,,,,,,,,,,,,,,0,,,,,,
87,Bufonidae,Melanophryniscus,Melanophryniscus_moreirae,KU_112395,,,,"lentic, arboreal",1,0,,absent,0,buds,KU,1,~37,1,,,,,,,KU,,,Melanophryniscus_moreirae,,,,,,Melanophryniscus_stelzneri
88,Bufonidae,Melanophryniscus,Melanophryniscus_pachyrhynus,,,,,lotic,0,0,,absent,0,buds,,,,,,,,,,,"Haas, 2003",,as M. orejasmirandai,Melanophryniscus_orejasmirandai,,,,,,
